invocation,candidate,exit,duration_us
313,9,z,7462
313,10,accept,10541
314,1,z,7520
314,2,z,7465
314,3,w0,8929
314,4,accept,10541
315,1,z,7514
315,2,z,7477
315,3,accept,10548
316,1,accept,10603
317,1,z,7523
317,2,z,7482
317,3,w0,8945
317,4,w0,8920
317,5,z,7464
317,6,w0,8921
317,7,w0,8926
317,8,z,7457
317,9,z,7464
317,10,z,7460
317,11,z,7467
317,12,z,7478
317,13,w0,8939
317,14,z,7469
317,15,w0,8927
317,16,w0,8936
317,17,z,7445
317,18,accept,10540
318,1,z,7523
318,2,accept,10548
319,1,z,7513
319,2,accept,10548
320,1,accept,10603
321,1,w0,9012
321,2,accept,10540
322,1,w0,8996
322,2,z,7468
322,3,accept,10540
323,1,z,7520
323,2,accept,10548
324,1,w0,8989
324,2,z,7476
324,3,z,7450
324,4,w0,8926
324,5,z,7475
324,6,accept,10541
325,1,z,7507
325,2,z,7470
325,3,z,7487
325,4,z,7481
325,5,z,7447
325,6,w0,8937
325,7,w0,8910
325,8,z,7453
325,9,z,7484
325,10,accept,10541
326,1,z,7517
326,2,z,7467
326,3,accept,10548
327,1,z,7526
327,2,z,7446
327,3,accept,10548
328,1,w0,8967
328,2,z,7473
328,3,w0,8912
328,4,w0,8925
328,5,accept,10540
329,1,accept,10603
330,1,z,7521
330,2,accept,10548
331,1,z,7544
331,2,w0,8924
331,3,z,7474
331,4,hint,10540
331,5,w0,8924
331,6,z,7446
331,7,accept,10536
332,1,w0,8968
332,2,accept,10541
333,1,accept,10603
334,1,accept,10603
335,1,w0,8997
335,2,accept,10541
336,1,z,7528
336,2,z,7457
336,3,accept,10548
337,1,z,7552
337,2,z,7473
337,3,z,7473
337,4,z,7453
337,5,z,7481
337,6,z,7474
337,7,w0,8915
337,8,w0,8930
337,9,accept,10541
338,1,z,7507
338,2,z,7472
338,3,accept,10548
339,1,z,7531
339,2,accept,10548
340,1,z,7544
340,2,w0,8949
340,3,accept,10541
341,1,w0,8975
341,2,z,7464
341,3,accept,10540
342,1,w0,9002
342,2,z,7487
342,3,accept,10541
343,1,z,7529
343,2,w0,8914
343,3,z,7480
343,4,w0,8931
343,5,accept,10541
344,1,accept,10616
345,1,w0,8978
345,2,z,7457
345,3,z,7463
345,4,z,7483
345,5,w0,8909
345,6,z,7484
345,7,accept,10540
346,1,z,7507
346,2,w0,8918
346,3,z,7477
346,4,accept,10541
347,1,accept,10615
348,1,z,7529
348,2,z,7477
348,3,z,7460
348,4,z,7465
348,5,accept,10549
349,1,w0,9001
349,2,w0,8911
349,3,z,7481
349,4,w0,8933
349,5,z,7484
349,6,z,7460
349,7,w0,8918
349,8,z,7454
349,9,z,7451
349,10,w0,8937
349,11,accept,10540
350,1,accept,10604
351,1,w0,8971
351,2,w0,8913
351,3,z,7468
351,4,w0,8907
351,5,w0,8936
